simulation_type,metric,mean,std,median,ci_lower,ci_upper,min,max,prob_positive
bootstrap,net_pnl,502734.81212637614,51128.72199984504,502389.6895750043,402112.61390867346,601895.1283388932,326752.97355113813,676924.7151370351,1.0
bootstrap,trades,11426.0,0.0,11426.0,11426.0,11426.0,11426.0,11426.0,
bootstrap,win_rate,0.41242377034832833,0.004632966209745789,0.41248030806931557,0.403203220724663,0.4215823560301068,0.39480133029931735,0.4316471206021355,
bootstrap,profit_factor,1.2456773508541317,0.027052592140616692,1.2451193345622846,1.1930214188735686,1.298837748892956,1.1534007983020278,1.3452531339383462,
bootstrap,sharpe,2.8144273543610447,0.2691842126240808,2.8138607311860167,2.2829365029214284,3.3298949286376796,1.8269977321646989,3.7617835769007306,
bootstrap,max_dd,14026.259882738066,3105.7657164647003,13443.91931037759,9642.18780024418,21572.06142073393,7287.112086568959,42436.59656911134,
dropout,net_pnl,464879.59303795215,25273.565164148662,466818.2490799385,413336.96680169966,502864.2180946146,366527.40389275184,515948.1189946984,1.0
dropout,trades,10568.3565,494.59822826992615,10569.0,9755.0,11384.0,9607.0,11426.0,
dropout,win_rate,0.4124196049573701,0.001340825654257797,0.4124058210373204,0.4096647631150179,0.41524682522931083,0.40638059321170117,0.41830870279146143,
dropout,profit_factor,1.245416742044896,0.007798235941140125,1.245358808557127,1.2292310706709726,1.2619868912756482,1.205804848868207,1.2868964583861922,
dropout,sharpe,3.1249806781870246,0.0887447339195208,3.1338292921232673,2.9290649951836243,3.293101418497182,2.650658239841759,3.510806889898118,
dropout,max_dd,35815.776894632945,2770.9097219594023,36061.651939140065,29917.54241107974,40916.654131229945,25764.68839091654,47172.36706940588,
cost_variance,net_pnl,502217.60004959477,196.30710429724843,502216.2728493201,501830.40023772704,502599.2768502427,501523.30054572504,503005.6055758562,1.0
cost_variance,trades,11426.0,0.0,11426.0,11426.0,11426.0,11426.0,11426.0,
cost_variance,win_rate,0.4124005076142134,2.4819319328702323e-05,0.4123927883773849,0.4123927883773849,0.41248030806931557,0.4123927883773849,0.41248030806931557,
cost_variance,profit_factor,1.2451891570812585,0.00011016699928414058,1.2451885736863422,1.244972048278933,1.2454045029432377,1.2448068782214625,1.2456363287850631,
cost_variance,sharpe,3.156166912364468,0.0012445968993468868,3.1561581723164096,3.1537321815255117,3.1586212410990875,3.1517539014180485,3.1610076110994543,
cost_variance,max_dd,37971.40228236508,53.973464010699175,37970.8285345164,37865.27030847048,38078.48712607818,37773.55739252217,38173.08273633196,
combined,net_pnl,464391.0826284995,54506.377081589046,463897.1005308967,361088.12128511845,572691.0103642524,282117.6788782386,690125.1427994455,1.0
combined,trades,10568.4173,498.4125836701056,10568.5,9753.0,11388.0,9628.0,11426.0,
combined,win_rate,0.41240074325006226,0.0048496778427152745,0.4123950138115412,0.40290574842696153,0.42186266182057564,0.39193316564858066,0.43050778879223145,
combined,profit_factor,1.2453798500173299,0.02837256211642029,1.2450751486563512,1.1909273425837468,1.3020284470629349,1.1387976131062314,1.3615249397357416,
combined,sharpe,2.7877538431874114,0.2786824697069608,2.7887052998962094,2.242304408357646,3.3326643767333257,1.670376763639539,3.7888176864576772,
combined,max_dd,13941.713408179236,3116.970348892114,13382.268522618193,9489.601192512799,21603.340114435876,7536.901140612172,37885.75116299081,
