net_pnl,trades,win_rate,profit_factor,sharpe,max_dd,avg_trade,period
29386.983848919604,361,0.4515235457063712,1.5235501031309335,5.837428777179508,8364.615475174243,81.4043873931291,2020Q2
35642.772138762346,1088,0.39246323529411764,1.213174111388768,3.2769275498209196,18795.81448550805,32.759900862833035,2020Q3
-409.76690862535906,824,0.3580097087378641,0.9968999732420902,-0.04637501619807861,27206.226848116403,-0.4972899376521348,2020Q4
15144.581467115007,971,0.3831101956745623,1.0922797287792965,1.161552977809613,33595.596090962965,15.596891315257475,2021Q1
50112.69111553002,948,0.45042194092827004,1.4001394849762723,3.7753331288805403,20682.79322804759,52.86148851849158,2021Q2
49983.11299294638,843,0.4531435349940688,1.4832402790590702,5.936363365571572,9231.704885269264,59.291948983329036,2021Q3
4718.039548121767,630,0.3634920634920635,1.0492743105043336,0.7256900885189969,19274.93917735099,7.488951663685345,2021Q4
126008.33094945767,845,0.4414201183431953,1.6410411357034986,6.4331791219321595,16554.68212827001,149.1222851472872,2022Q1
115818.32702400834,1130,0.41150442477876104,1.372142116576323,3.800446052851143,26422.632449322336,102.4940947115118,2022Q2
53768.957904492076,1010,0.403960396039604,1.2476797156944068,2.865782244573487,23101.376134841572,53.23659198464562,2022Q3
16205.789713516457,831,0.35018050541516244,1.0866765979016468,1.3979278413843446,25220.348715747194,19.50155200182486,2022Q4
