start_date,end_date,net_pnl,trades,win_rate
2021-02-23,2021-03-25,-30324.983461693213,421,0.2921615201900237
2021-02-22,2021-03-24,-30273.693366987598,406,0.2684729064039409
2021-02-27,2021-03-29,-26038.325961495015,365,0.3041095890410959
2021-02-21,2021-03-23,-25245.4939500001,388,0.27319587628865977
2021-02-24,2021-03-26,-25205.972287838886,409,0.293398533007335
2021-02-20,2021-03-22,-25202.218577638065,365,0.26575342465753427
2021-02-28,2021-03-30,-22066.7196787652,372,0.31451612903225806
2021-02-17,2021-03-19,-21893.77261020876,389,0.2647814910025707
2020-11-04,2020-12-04,-19474.735078162335,263,0.29277566539923955
2020-11-11,2020-12-11,-18537.64477946915,279,0.3010752688172043
