net_pnl,trades,win_rate,profit_factor,sharpe,max_dd,tp_atr_mult,sl_atr_mult
297827.8918765465,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,20157.357654577827,1.5,0.75
-53351.734079714726,9481,0.40417677460183526,0.9620196260429134,-0.5114530364078019,74552.48990667218,1.5,1.0
-404531.3600359756,9481,0.40417677460183526,0.7696157008343307,-3.541689258066966,411222.0083287551,1.5,1.25
-755710.9859922365,9481,0.40417677460183526,0.6413464173619423,-6.014107793741689,760484.7364510491,1.5,1.5
-1106890.6119484976,9481,0.40417677460183526,0.5497255005959505,-8.006781215890957,1111136.98776797,1.5,1.75
748283.4817916565,9481,0.40417677460183526,1.7102571129651791,6.092481432768235,14968.951781929354,2.0,0.75
397103.8558353953,9481,0.40417677460183526,1.2826928347238842,3.0891231694459784,26876.476872770458,2.0,1.0
45924.22987913455,9481,0.40417677460183526,1.0261542677791076,0.3372468078746172,75869.95035426246,2.0,1.25
-305255.39607712644,9481,0.40417677460183526,0.8551285564825896,-2.099455483441506,316731.74374511355,2.0,1.5
-656435.0220333876,9481,0.40417677460183526,0.7329673341279339,-4.209642793474095,664711.9707861791,2.0,1.75
1198739.0717067663,9481,0.40417677460183526,2.1378213912064745,7.964339749869585,14188.42882273125,2.5,0.75
847559.445750505,9481,0.40417677460183526,1.6033660434048558,5.47692246483328,20218.776695638662,2.5,1.0
496379.81979424425,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,33595.596090962994,2.5,1.25
145200.19383798327,9481,0.40417677460183526,1.0689106956032373,0.8635700180942387,77187.4108018521,2.5,1.5
-205979.4321182778,9481,0.40417677460183526,0.9162091676599176,-1.1642601348952264,229530.8119338024,2.5,1.75
1649194.661621876,9481,0.40417677460183526,2.5653856694477692,9.218825606319907,13407.905863532564,3.0,0.75
1298015.0356656148,9481,0.40417677460183526,1.9240392520858267,7.129100029247225,19438.253736440558,3.0,1.0
946835.4097093539,9481,0.40417677460183526,1.5392314016686615,5.070006401655131,25480.1967572273,3.0,1.25
595655.783753093,9481,0.40417677460183526,1.2826928347238846,3.0891231694459784,40314.715309155654,3.0,1.5
244476.1577968318,9481,0.40417677460183526,1.099451001191901,1.2214038018621078,78504.87124944096,3.0,1.75
2099650.251536986,9481,0.40417677460183526,2.992949947689064,10.109951567507093,13096.458654139424,3.5,0.75
1748470.6255807246,9481,0.40417677460183526,2.244712460766798,8.322966036631401,18657.73077724292,3.5,1.0
1397290.9996244637,9481,0.40417677460183526,1.7957699686134385,6.5353689493416445,24688.078650149633,3.5,1.25
1046111.3736682028,9481,0.40417677460183526,1.496474973844532,4.781273712255194,30764.723247091402,3.5,1.5
694931.7477119416,9481,0.40417677460183526,1.2826928347238844,3.0891231694459784,47033.83452734773,3.5,1.75
